date,3M,AMAZON,APPLE,ASML,BOEING,COKE,DISNEY,EXXON,FACEBOOK,IBM,INTEL,JOHNSON,MCDONALDS,MERCK,MICROSOFT,NETFLIX,NVIDIA,PFIZER,SALESFORCE,WALMART,
20160930,0.003015,0.003015,0.003015,0.003015,0.003015,0.003015,0.003015,0.003015,0.003015,0.003015,0.003015,0.003015,0.003015,0.003015,0.003015,0.003015,0.003015,0.003015,0.003015,0.003015,
20161031,-0.021566,-0.021566,-0.021566,-0.021566,-0.021566,-0.021566,-0.021566,-0.021566,-0.021566,-0.021566,-0.021566,-0.021566,-0.021566,-0.021566,-0.021566,-0.021566,-0.021566,-0.021566,-0.021566,-0.021566,
20161130,0.040543001,0.040543001,0.040543001,0.040543001,0.040543001,0.040543001,0.040543001,0.040543001,0.040543001,0.040543001,0.040543001,0.040543001,0.040543001,0.040543001,0.040543001,0.040543001,0.040543001,0.040543001,0.040543001,0.040543001,
20161230,0.018772,0.018772,0.018772,0.018772,0.018772,0.018772,0.018772,0.018772,0.018772,0.018772,0.018772,0.018772,0.018772,0.018772,0.018772,0.018772,0.018772,0.018772,0.018772,0.018772,
20170131,0.022173,0.022173,0.022173,0.022173,0.022173,0.022173,0.022173,0.022173,0.022173,0.022173,0.022173,0.022173,0.022173,0.022173,0.022173,0.022173,0.022173,0.022173,0.022173,0.022173,
20170228,0.032623,0.032623,0.032623,0.032623,0.032623,0.032623,0.032623,0.032623,0.032623,0.032623,0.032623,0.032623,0.032623,0.032623,0.032623,0.032623,0.032623,0.032623,0.032623,0.032623,
20170331,0.002064,0.002064,0.002064,0.002064,0.002064,0.002064,0.002064,0.002064,0.002064,0.002064,0.002064,0.002064,0.002064,0.002064,0.002064,0.002064,0.002064,0.002064,0.002064,0.002064,
20170428,0.009657,0.009657,0.009657,0.009657,0.009657,0.009657,0.009657,0.009657,0.009657,0.009657,0.009657,0.009657,0.009657,0.009657,0.009657,0.009657,0.009657,0.009657,0.009657,0.009657,
20170531,0.009335,0.009335,0.009335,0.009335,0.009335,0.009335,0.009335,0.009335,0.009335,0.009335,0.009335,0.009335,0.009335,0.009335,0.009335,0.009335,0.009335,0.009335,0.009335,0.009335,
20170630,0.00958,0.00958,0.00958,0.00958,0.00958,0.00958,0.00958,0.00958,0.00958,0.00958,0.00958,0.00958,0.00958,0.00958,0.00958,0.00958,0.00958,0.00958,0.00958,0.00958,
20170731,0.020293999,0.020293999,0.020293999,0.020293999,0.020293999,0.020293999,0.020293999,0.020293999,0.020293999,0.020293999,0.020293999,0.020293999,0.020293999,0.020293999,0.020293999,0.020293999,0.020293999,0.020293999,0.020293999,0.020293999,
20170831,0.001593,0.001593,0.001593,0.001593,0.001593,0.001593,0.001593,0.001593,0.001593,0.001593,0.001593,0.001593,0.001593,0.001593,0.001593,0.001593,0.001593,0.001593,0.001593,0.001593,
20170929,0.023758,0.023758,0.023758,0.023758,0.023758,0.023758,0.023758,0.023758,0.023758,0.023758,0.023758,0.023758,0.023758,0.023758,0.023758,0.023758,0.023758,0.023758,0.023758,0.023758,
20171031,0.019293999,0.019293999,0.019293999,0.019293999,0.019293999,0.019293999,0.019293999,0.019293999,0.019293999,0.019293999,0.019293999,0.019293999,0.019293999,0.019293999,0.019293999,0.019293999,0.019293999,0.019293999,0.019293999,0.019293999,
20171130,0.02726,0.02726,0.02726,0.02726,0.02726,0.02726,0.02726,0.02726,0.02726,0.02726,0.02726,0.02726,0.02726,0.02726,0.02726,0.02726,0.02726,0.02726,0.02726,0.02726,
20171229,0.012129,0.012129,0.012129,0.012129,0.012129,0.012129,0.012129,0.012129,0.012129,0.012129,0.012129,0.012129,0.012129,0.012129,0.012129,0.012129,0.012129,0.012129,0.012129,0.012129,
20180131,0.050638001,0.050638001,0.050638001,0.050638001,0.050638001,0.050638001,0.050638001,0.050638001,0.050638001,0.050638001,0.050638001,0.050638001,0.050638001,0.050638001,0.050638001,0.050638001,0.050638001,0.050638001,0.050638001,0.050638001,
20180228,-0.039480999,-0.039480999,-0.039480999,-0.039480999,-0.039480999,-0.039480999,-0.039480999,-0.039480999,-0.039480999,-0.039480999,-0.039480999,-0.039480999,-0.039480999,-0.039480999,-0.039480999,-0.039480999,-0.039480999,-0.039480999,-0.039480999,-0.039480999,
20180329,-0.018445,-0.018445,-0.018445,-0.018445,-0.018445,-0.018445,-0.018445,-0.018445,-0.018445,-0.018445,-0.018445,-0.018445,-0.018445,-0.018445,-0.018445,-0.018445,-0.018445,-0.018445,-0.018445,-0.018445,
20180430,0.004692,0.004692,0.004692,0.004692,0.004692,0.004692,0.004692,0.004692,0.004692,0.004692,0.004692,0.004692,0.004692,0.004692,0.004692,0.004692,0.004692,0.004692,0.004692,0.004692,
20180531,0.026164001,0.026164001,0.026164001,0.026164001,0.026164001,0.026164001,0.026164001,0.026164001,0.026164001,0.026164001,0.026164001,0.026164001,0.026164001,0.026164001,0.026164001,0.026164001,0.026164001,0.026164001,0.026164001,0.026164001,
20180629,0.005365,0.005365,0.005365,0.005365,0.005365,0.005365,0.005365,0.005365,0.005365,0.005365,0.005365,0.005365,0.005365,0.005365,0.005365,0.005365,0.005365,0.005365,0.005365,0.005365,
20180731,0.031603999,0.031603999,0.031603999,0.031603999,0.031603999,0.031603999,0.031603999,0.031603999,0.031603999,0.031603999,0.031603999,0.031603999,0.031603999,0.031603999,0.031603999,0.031603999,0.031603999,0.031603999,0.031603999,0.031603999,
