date,3M,AMAZON,APPLE,ASML,BOEING,COKE,DISNEY,EXXON,FACEBOOK,IBM,INTEL,JOHNSON,MCDONALDS,MERCK,MICROSOFT,NETFLIX,NVIDIA,PFIZER,SALESFORCE,WALMART
20180629,-0.002586,0.043065,-0.009418,0.006712,-0.04728,0.02907,0.053684,0.018341,0.013244,-0.011393,-0.099457,0.014379,-0.014437,0.027717,-0.002327,0.113282,-0.060629,0.009741,0.054666,0.037679
20180731,0.079301,0.045676,0.027983,0.080972,0.061965,0.063156,0.091499,-0.014747,-0.111877,0.037437,-0.032388,0.092138,0.005425,0.085173,0.075753,-0.137905,0.033601,0.100606,0.005499,0.041798
20180831,-0.000188,0.132365,0.200063,-0.041822,-0.033118,-0.044178,-0.013561,-0.00638,0.018252,0.021528,0.013098,0.023166,0.036181,0.041293,0.062877,0.089584,0.1469,0.048335,0.113234,0.08013
20180928,-0.000996,-0.004824,-0.008303,-0.083053,0.084921,0.045098,0.043921,0.060496,-0.064132,0.032291,-0.023539,0.025837,0.03119,0.04126,0.018161,0.017542,0.001211,0.061416,0.04159,-0.020342
20181031,-0.097053,-0.202192,-0.030478,-0.083289,-0.045819,0.036588,-0.018043,-0.062809,-0.07704,-0.236625,-0.00867,0.013172,0.057445,0.037637,-0.066101,-0.193382,-0.249769,-0.022918,-0.137018,0.067831
20181130,0.099968,0.057672,-0.180709,-0.00586,-0.018007,0.060777,0.005748,0.008032,-0.073654,0.090184,0.058234,0.05579,0.072188,0.077843,0.042505,-0.051859,-0.224067,0.081514,0.040221,-0.026227
20181231,-0.08359,-0.11135,-0.116698,-0.0918,-0.069962,-0.060516,-0.042947,-0.142264,-0.067705,-0.085298,-0.048266,-0.121511,-0.058034,-0.029997,-0.084047,-0.064551,-0.183136,-0.055808,-0.040558,-0.040758
20190131,0.051223,0.144317,0.055154,0.124727,0.195721,0.016473,0.017054,0.074644,0.271569,0.182546,0.004049,0.031228,0.006814,-0.025913,0.028158,0.2684,0.076779,-0.019244,0.109513,0.028771
20190228,0.042586,-0.045906,0.044701,0.044792,0.146245,-0.057968,0.011836,0.089656,-0.031436,0.03928,0.130624,0.033514,0.034791,0.092167,0.077181,0.054786,0.074226,0.021201,0.076857,0.032975
20190329,0.001881,0.085936,0.097026,0.028326,-0.133058,0.042347,-0.01604,0.022397,0.032456,0.021501,0.013973,0.023053,0.032963,0.029893,0.052754,-0.0043,0.164009,-0.0203,-0.032264,-0.009395
20190430,-0.08793,0.081859,0.056436,0.122912,-0.009779,0.046948,0.233631,-0.006436,0.160238,-0.005882,-0.049534,0.010087,0.04039,-0.053625,0.107343,0.039208,0.00802,-0.043796,0.044074,0.054445
20190531,-0.149438,-0.078613,-0.123735,-0.099464,-0.090087,0.001427,-0.035993,-0.107623,-0.082368,-0.083125,-0.130976,-0.064448,0.009414,0.006352,-0.049464,-0.073568,-0.250718,0.031273,-0.084306,-0.00846
20190628,0.08507,0.066792,0.130519,0.105717,0.065572,0.044576,0.057558,0.082803,0.087508,0.085912,0.086966,0.06199,0.04736,0.065522,0.083118,0.07003,0.212387,0.043353,0.002113,0.089215
20190731,0.007961,-0.014179,0.076394,0.071563,-0.062718,0.033582,0.030435,-0.029623,0.006373,0.074982,0.055985,-0.065049,0.014736,-0.010256,0.017244,-0.120685,0.02734,-0.103416,0.018256,-0.000996
20190830,-0.066163,-0.048474,-0.01657,-0.000898,0.073173,0.045791,-0.040207,-0.067375,-0.044071,-0.074811,-0.055885,-0.006988,0.039911,0.041933,0.015044,-0.090529,-0.006223,-0.075438,0.010162,0.039953
20190930,0.016572,-0.022733,0.072962,0.115943,0.044989,-0.003634,-0.050561,0.031104,-0.040879,0.072973,0.086901,0.007946,-0.014956,-0.020123,0.008487,-0.088953,0.039162,0.010689,-0.048888,0.038684
20191031,0.003589,0.023475,0.110684,0.054545,-0.106605,-0.000184,-0.003069,-0.043053,0.076202,-0.080388,0.097031,0.02056,-0.083881,0.029461,0.031216,0.073948,0.154823,0.06791,0.054231,-0.011965
20191129,0.037699,0.013587,0.077424,0.037484,0.083331,-0.011574,0.166718,0.021163,0.052126,0.017498,0.032461,0.04847,-0.004931,0.006,0.059427,0.094812,0.078997,0.013292,0.040897,0.015606
20191231,0.039171,0.026122,0.098784,0.093563,-0.110383,0.036517,-0.040045,0.024218,0.017903,-0.003049,0.031008,0.06095,0.016094,0.050241,0.041749,0.028316,0.085633,0.017134,-0.001535,0.002351
20200131,-0.100669,0.087064,0.05401,-0.051632,-0.022992,0.055104,-0.043698,-0.109774,-0.016273,0.072292,0.06817,0.020566,0.082789,-0.060583,0.079455,0.066508,0.004802,-0.039816,0.120942,-0.036604
